Movie Name,Genre,Release Date
The Shawshank Redemption,Drama,1994
The Godfather,Crime,1972
The Godfather: Part II,Crime,1974
The Dark Knight,Action,2008
12 Angry Men,Drama,1957
Schindler's List,Drama,1993
The Lord of the Rings: The Return of the King,Adventure,2003
Pulp Fiction,Crime,1994
The Lord of the Rings: The Fellowship of the Ring,Adventure,2001
Forrest Gump,Drama,1994
The Good the Bad and the Ugly,Western,1966
Fight Club,Drama,1999
Inception,Action,2010
The Lord of the Rings: The Two Towers,Adventure,2002
Star Wars: Episode V - The Empire Strikes Back,Action,1980
The Matrix,Action,1999
Goodfellas,Crime,1990
One Flew Over the Cuckoo's Nest,Drama,1975
Seven Samurai,Adventure,1954
Se7en,Crime,1995